CCTV1,rtp://239.93.0.184:5140$四川cmc
CCTV2,rtp://239.93.1.23:6000$四川cmc
CCTV3,rtp://239.93.1.11:2223$四川cmc
CCTV4,rtp://239.93.1.105:5140$四川cmc
CCTV5,rtp://239.93.1.36:8004$四川cmc
CCTV6,rtp://239.93.1.13:2226$四川cmc
CCTV7,rtp://239.93.1.67:5140$四川cmc
CCTV8,rtp://239.93.42.39:5140$四川cmc
CCTV9,rtp://239.93.1.24:5140$四川cmc
CCTV10,rtp://239.93.1.28:5140$四川cmc
CCTV11,rtp://239.93.0.102:5140$四川cmc
CCTV12,rtp://239.93.1.30:8124$四川cmc
CCTV13,rtp://239.93.0.66:5140$四川cmc
CCTV14,rtp://239.93.1.29:6000$四川cmc
CCTV15,rtp://239.93.0.103:5140$四川cmc
安徽卫视,rtp://239.93.1.106:5140$四川cmc
北京卫视,rtp://239.93.0.180:5140$四川cmc
东方卫视,rtp://239.93.0.123:5140$四川cmc
湖南卫视,rtp://239.93.0.88:5140$四川cmc
江苏卫视,rtp://239.93.0.89:5140$四川cmc
江西卫视,rtp://239.93.0.134:5140$四川cmc
山东卫视,rtp://239.93.0.168:5140$四川cmc
深圳卫视,rtp://239.93.0.182:5140$四川cmc
四川卫视,rtp://239.93.0.169:5140$四川cmc
天津卫视,rtp://239.93.0.167:5140$四川cmc
云南卫视,rtp://239.93.1.174:5140$四川cmc
浙江卫视,rtp://239.93.0.124:5140$四川cmc
重庆卫视,rtp://239.93.1.107:5140$四川cmc
兵团卫视,rtp://239.93.42.43:5140$四川cmc
苏州新闻综合,https://live-auth.51kandianshi.com/szgd/csztv1.m3u8$江苏苏州地方
苏州社会经济,https://live-auth.51kandianshi.com/szgd/csztv2.m3u8$江苏苏州地方
苏州文化生活,https://live-auth.51kandianshi.com/szgd/csztv3.m3u8$江苏苏州地方
苏州生活资讯,https://live-auth.51kandianshi.com/szgd/csztv5.m3u8$江苏苏州地方
苏州4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8$江苏苏州地方

